feature,importance
F496,2.9485079765319826
F2075,2.9467399597167967
F3056,2.912669277191162
F3486,2.8878999136388304
F1605,2.7689365565776827
F1214,2.7329599380493166
F100,2.671574020385742
F2029,2.5784794330596923
F2640,2.480500030517578
F1705,2.4451159715652464
F3395_missing,2.4135676994919777
F956,2.398098039627075
F1821,2.3444400787353517
F570,2.2995503425598143
F2639,2.2604400634765627
F3873,2.2491398259997366
F1537,2.2370059490203857
F3645,2.233773350715637
F261,2.22544002532959
F1861,2.1111440420150758
F2642,2.0801520347595215
F3103,2.0702700138092043
F1816,2.040611046552658
F568,1.907703971862793
F2641,1.9062620162963868
F2638,1.7855631947517394
F193,1.776099967956543
F3800,1.7627192258834838
F2068,1.733568000793457
F3527,1.7277112245559691
F2953,1.7227420806884766
F1867,1.6817863821983337
F379,1.6728140830993652
F196,1.6565780639648438
F1249,1.6479900360107422
F1960,1.6108579635620117
F3837,1.601279965043068
F2960,1.594182014465332
F1273,1.5805052161216735
F1172,1.5770580291748046
F2991,1.5695580005645753
F1716,1.5312800407409668
F1969,1.5009583562612534
F1608,1.4929188013076782
F3829,1.4634689576923847
F3063,1.4594614282250404
F2041,1.4524708151817323
F3488,1.4008679866790772
F3743,1.400189369916916
F3499,1.3963430315256118
F3601,1.3329439640045166
F1320,1.312596035003662
F3719,1.3049539566040038
F1609,1.2990985989570618
F3136_missing,1.2878434240818024
F3108,1.2818220138549805
F1859,1.27475004196167
F159,1.269454002380371
F1711,1.2668459847569467
F1084,1.262849998474121
F3139_missing,1.258448028564453
F141,1.2452919960021973
F411,1.2380160331726073
F408,1.2196680068969727
F1644,1.1828060150146484
F424,1.1736120223999023
F3098,1.1733960151672362
F3398_missing,1.1732079982757568
F1501,1.058609962463379
F3703,1.0428530717268587
F3908,1.0377410113811494
F1491,0.9473939895629883
F3398,0.9470533356070518
F2956,0.9450704038143158
F1167,0.9401459693908691
F3002,0.9352142125368118
F1966,0.925081992149353
F193_missing,0.9154159545898437
F3872,0.9141286071389914
F157,0.9043546169996262
F3691,0.9033959865570068
F3900,0.87122802734375
F163,0.8433071732521057
F1209,0.8328299850225449
F3003,0.8086040019989014
F3501,0.7979360103607178
F2385,0.7781750161200762
F1603,0.774424409866333
F2480,0.7737259864807129
F524,0.7707732051610947
F148,0.7638700008392334
F1752,0.7601582109928131
F3484,0.7556617027148604
F1810,0.7486259818077088
F3109,0.728918993473053
F2286,0.7226451933383942
F3498,0.71739362180233
F3066,0.6588560104370117
F3227,0.65208979845047
F2992,0.6456560134887696
F2998,0.6379699945449829
F3240_missing,0.6347520112991333
F336,0.6329576754011214
F537,0.6288316130638123
F3646,0.6211380004882813
F3596,0.6056545943021774
F2389,0.5765059947967529
F1860,0.5608006000518799
F1812,0.5602371856570244
F3094,0.5537800192832947
F3700,0.5512335866689682
F1825,0.5382760047912598
F3819,0.535777997970581
F3529,0.524045991897583
F2777,0.5108831942081451
F2780,0.5083920001983643
F1745,0.4940380096435547
F3491,0.49284160137176514
F253,0.48903598785400393
F1967,0.4886579990386963
F3907,0.4552837938070297
F3816,0.4417375989258289
F118,0.4284980058670044
F1215,0.41620597839355467
F562,0.40359379053115846
F1213,0.40233402252197265
F3093,0.3860664889216423
F2776,0.3713299989700317
F563,0.34273180961608884
F1285,0.3408582091331482
F1490,0.34024200439453123
F471,0.3268123999238014
F3830,0.3078289985656738
F2141,0.3060717970132828
F2595,0.29282000064849856
F2735,0.28789580464363096
F957,0.2850059986114502
F2136,0.2790067598223686
F1171,0.27215260863304136
F525,0.26364400386810305
F2147,0.25800600051879885
F3825,0.2573915958404541
F260,0.2540504038333893
F2995,0.25180199146270754
F115,0.2506162017583847
F2030,0.2478019952774048
F256,0.24005000591278075
F368,0.23906199932098388
F365,0.23638999462127686
F3722_missing,0.23429598808288574
F2683,0.2329864025115967
F2035,0.2199700117111206
F1393,0.21417999267578125
F116,0.2103559970855713
F3814,0.2074832409620285
F1824,0.20109579861164092
F510,0.19801719784736632
F1387,0.1962425947189331
F2543,0.19433860182762147
F3230,0.18434519767761232
F126,0.18001940250396728
F2738,0.17849953083223227
F2037,0.1750522442162037
F1929,0.1713864028453827
F1820,0.1678727984428406
F3888_days_old,0.16503180265426637
F2134,0.16010940074920654
F2491,0.15704724490642546
F3820,0.155692195892334
F2291,0.1494189977645874
F2387,0.14938358217477798
F2651,0.14913367852568626
F3828,0.14526000022888183
F2380,0.14117439985275268
F1570,0.13857959508895873
F3803,0.13851300477981568
F2328_missing,0.13717199563980104
F26,0.13575680255889894
F2686,0.1344473570585251
F2349,0.13146740198135376
F1642,0.13112840056419373
F2251,0.13087220191955568
F3704,0.13026903420686722
F454,0.13012492433190345
F3717,0.12196320295333862
F1822,0.11950360536575318
F113,0.1114501953125
F3494,0.10411360263824462
F270,0.10283655179664493
F457,0.10244059562683105
F1971,0.10093740224838257
F327,0.09751219749450683
F3112,0.09533900022506714
F3826,0.09138355925679206
F3815,0.09099959731101989
F320,0.08761460185050965
F2248,0.08199440240859986
F565,0.07798939943313599
F3097,0.07694222144782543
F3606,0.07652940154075623
F2737,0.07014400064945221
F2384,0.06890079975128174
F2390,0.06764037869870662
F2478,0.06564459800720215
F2327_missing,0.0630810022354126
F2479,0.06224160045385361
F3836,0.06096257902681827
F2383,0.06044059991836548
F1759,0.059170597791671754
F3115_missing,0.05906999707221985
F123,0.05221620202064514
F361,0.051115798950195315
F158,0.048106199502944945
F2582,0.047739601135253905
F1154,0.047130799293518065
F1639,0.046863201260566714
F2742,0.046756398677825925
F294,0.0431768000125885
F2740,0.043011799454689026
F150,0.04137652069330215
F1636,0.03939299881458282
F428,0.03921360075473786
F2754,0.03813740089535713
F2382,0.03701640069484711
F1651,0.032096201181411745
F1533,0.03129479885101318
F3603,0.0285178005695343
F1606,0.028218200802803038
F3650,0.028188800811767577
F3485,0.027858400344848634
F3456,0.0275083988904953
F154,0.027371400594711305
F1706,0.027071601152420043
F2342,0.02628839910030365
F262,0.02615160048007965
F1744,0.025778600573539735
F2722,0.025111600756645203
F2743,0.023043539747595786
F3609,0.02208559960126877
F2736,0.020970399677753448
F2718,0.019734999537467955
F2292,0.017805719375610353
F3719_missing,0.016690599918365478
F2537,0.016147144651040436
F2724,0.01587042063474655
F556,0.015856699645519258
F2261,0.015795080363750456
F3827,0.015423020720481873
F2481,0.015319359302520753
F147,0.013912299275398254
F2488,0.012974439561367035
F3592,0.01233976036310196
F434,0.01211031973361969
F332,0.0111251600086689
F1963,0.009889739751815795
F3894,0.009700660035014153
F2548,0.009485299885272979
F838,0.009394259750843048
F1924,0.007340099662542343
F371,0.006900919973850251
F2028,0.006551679968833923
F3735,0.005791499838232994
F2848,0.004002460092306137
F625,0.003972680121660232
F3101,0.0031376801431179046
F2386,0.0029126999899744986
F3921,0.002759139984846115
F1719,0.002714099921286106
F992,0.002608479931950569
F3821,0.0023365400731563566
F2590,0.002306560054421425
F3607,0.002184079959988594
F3599,0.0018532060086727143
F370,0.0017608659341931342
F3741,0.0014021179638803005
F3859,0.0013213180005550384
F2444,0.0012631580233573914
F2345,0.0009386640042066575
